FILENAME,0dB,-5dB,Wiener
1_125_plus_5-213836-B-9_0dB.wav,0.3983,0.2615,0.4163
1_150_plus_4-173865-B-9_0dB.wav,0.6257,0.5743,0.6402
1_172_plus_1-75162-A-9_0dB.wav,0.6250,0.5120,0.5532
1_306_plus_4-173865-A-9_0dB.wav,0.5463,0.4773,0.4302
1_310_plus_3-124925-A-9_0dB.wav,0.6807,0.6558,0.7130
1_325_plus_2-109231-A-9_0dB.wav,0.9191,0.8774,0.8774
1_340_plus_3-127890-A-9_0dB.wav,0.7709,0.7045,0.7511
1_433_plus_4-156227-A-9_0dB.wav,0.5828,0.4627,0.6103
1_43_plus_2-108767-A-9_0dB.wav,0.6960,0.6654,0.6675
1_449_plus_3-112397-A-9_0dB.wav,0.9660,0.9344,0.9147
