FILENAME,0dB,-5dB,Demucs
1_200_plus_3-159445-B-45_-5dB.wav,0.4415,0.3653,0.3896
1_211_plus_4-165606-A-45_-5dB.wav,0.5583,0.4863,0.3265
1_215_plus_1-88409-A-45_-5dB.wav,0.6122,0.4605,0.3580
1_237_plus_2-122066-A-45_-5dB.wav,0.3314,0.2882,0.3884
1_245_plus_3-135650-B-45_-5dB.wav,0.3346,0.2337,0.3324
1_254_plus_4-168446-A-45_-5dB.wav,0.4229,0.3928,0.3282
1_470_plus_4-165845-A-45_-5dB.wav,0.2985,0.2881,0.4613
1_489_plus_2-135649-A-45_-5dB.wav,0.7729,0.5250,0.4123
1_493_plus_4-165791-A-45_-5dB.wav,0.9062,0.7473,0.2887
1_54_plus_4-165845-B-45_-5dB.wav,0.3953,0.4028,0.4097
