FILENAME,0dB,-5dB,Wiener
1_184_plus_4-201300-A-31_0dB.wav,0.4704,0.4009,0.5472
1_225_plus_1-81851-A-31_0dB.wav,0.5551,0.5419,0.4757
1_249_plus_3-158056-B-31_0dB.wav,0.7918,0.7170,0.7740
1_262_plus_3-167096-A-31_0dB.wav,0.6207,0.4027,0.5232
1_275_plus_3-185313-A-31_0dB.wav,0.6416,0.4502,0.6784
1_397_plus_2-119139-A-31_0dB.wav,0.5397,0.4707,0.4872
1_41_plus_4-195305-A-31_0dB.wav,0.4136,0.3013,0.4602
1_485_plus_1-95563-A-31_0dB.wav,0.2343,0.1522,0.3171
1_490_plus_2-153388-A-31_0dB.wav,0.2801,0.2190,0.3021
1_499_plus_1-118206-A-31_0dB.wav,0.8673,0.8081,0.5259
