FILENAME,0dB,-5dB,Wiener
1_165_plus_3-51731-B-42_0dB.wav,0.3215,0.2737,0.3379
1_210_plus_1-76831-A-42_0dB.wav,0.3345,0.2810,0.4839
1_300_plus_1-76831-C-42_0dB.wav,0.4328,0.2318,0.4760
1_349_plus_4-80761-A-42_0dB.wav,0.7388,0.7171,0.6520
1_404_plus_5-160551-A-42_0dB.wav,0.1697,0.1438,0.1671
1_412_plus_1-76831-B-42_0dB.wav,0.1302,0.0928,0.1050
1_421_plus_4-90014-A-42_0dB.wav,0.2399,0.1908,0.2128
1_451_plus_3-58772-A-42_0dB.wav,0.5531,0.3951,0.3377
1_463_plus_3-51376-A-42_0dB.wav,0.3277,0.2610,0.2474
1_51_plus_2-70936-A-42_0dB.wav,0.6668,0.4839,0.6215
