FILENAME,0dB,-5dB,Demucs
1_150_plus_3-105236-A-7_-5dB.wav,0.5701,0.4644,0.4105
1_275_plus_2-81970-A-7_-5dB.wav,0.7652,0.6504,0.4063
1_324_plus_3-110913-B-7_-5dB.wav,0.5064,0.3945,0.2196
1_369_plus_3-110913-A-7_-5dB.wav,0.4076,0.4256,0.4757
1_387_plus_5-194932-A-7_-5dB.wav,0.4646,0.4561,0.2414
1_400_plus_3-104761-B-7_-5dB.wav,0.6839,0.3883,0.5929
1_464_plus_5-233787-A-7_-5dB.wav,0.7396,0.4491,0.4601
1_494_plus_4-182314-B-7_-5dB.wav,0.6417,0.6013,0.3398
1_69_plus_2-99955-A-7_-5dB.wav,0.8442,0.7834,0.4612
1_88_plus_4-143118-A-7_-5dB.wav,0.8539,0.7295,0.5471
