FILENAME,0dB,-5dB,Wiener
1_129_plus_2-130245-A-34_0dB.wav,0.9689,0.9109,0.8923
1_208_plus_1-41615-A-34_0dB.wav,0.7184,0.6919,0.7853
1_28_plus_2-81190-A-34_0dB.wav,0.5241,0.5258,0.6675
1_305_plus_2-83688-A-34_0dB.wav,0.5191,0.4214,0.5706
1_326_plus_1-68734-A-34_0dB.wav,0.8123,0.6576,0.7397
1_336_plus_4-175025-A-34_0dB.wav,0.8197,0.7405,0.8390
1_402_plus_3-148932-A-34_0dB.wav,0.8795,0.8284,0.8132
1_424_plus_1-43764-A-34_0dB.wav,0.8593,0.7841,0.9130
1_485_plus_2-83667-A-34_0dB.wav,0.5936,0.5182,0.6157
1_496_plus_1-101404-A-34_0dB.wav,0.6809,0.4363,0.6102
