FILENAME,0dB,-5dB,Spectral
1_162_plus_5-182007-A-36_-5dB.wav,0.4961,0.3854,0.3856
1_206_plus_2-106073-A-36_-5dB.wav,0.3455,0.3398,0.3933
1_289_plus_3-159347-B-36_-5dB.wav,0.4020,0.3663,0.4474
1_305_plus_2-106072-A-36_-5dB.wav,0.2183,0.2149,0.2681
1_310_plus_1-19872-B-36_-5dB.wav,0.2526,0.1978,0.2939
1_336_plus_2-141681-B-36_-5dB.wav,0.2877,0.2799,0.3800
1_386_plus_2-141682-A-36_-5dB.wav,0.5568,0.4303,0.4010
1_417_plus_3-159346-A-36_-5dB.wav,0.3980,0.3075,0.2488
1_423_plus_5-212054-A-36_-5dB.wav,0.5801,0.4610,0.5071
1_88_plus_1-79236-A-36_-5dB.wav,0.4210,0.3700,0.2448
