FILENAME,0dB,-5dB,Demucs
1_132_plus_2-182508-A-8_0dB.wav,0.4812,0.4010,0.5335
1_167_plus_4-250864-A-8_0dB.wav,0.2648,0.1930,0.3022
1_197_plus_3-197408-B-8_0dB.wav,0.4277,0.3539,0.6104
1_235_plus_4-188703-D-8_0dB.wav,0.4211,0.3720,0.3098
1_276_plus_5-200329-A-8_0dB.wav,0.9157,0.8667,0.5812
1_27_plus_3-140199-B-8_0dB.wav,0.6165,0.6023,0.5758
1_375_plus_5-61635-A-8_0dB.wav,0.6801,0.6153,0.3417
1_401_plus_3-140199-A-8_0dB.wav,0.5174,0.4627,0.4743
1_53_plus_1-57795-A-8_0dB.wav,0.6255,0.6421,0.3871
1_70_plus_1-121951-A-8_0dB.wav,0.6608,0.6472,0.7320
