FILENAME,0dB,-5dB,Spectral
1_107_plus_1-36164-A-26_-5dB.wav,0.6910,0.6530,0.5958
1_132_plus_4-164243-A-26_-5dB.wav,0.6860,0.6067,0.6774
1_159_plus_2-60791-A-26_-5dB.wav,0.5946,0.5059,0.4723
1_218_plus_5-244526-A-26_-5dB.wav,0.4747,0.4457,0.4052
1_296_plus_5-171118-A-26_-5dB.wav,0.4122,0.3165,0.6792
1_298_plus_2-79775-A-26_-5dB.wav,0.5085,0.4630,0.4793
1_314_plus_5-242932-A-26_-5dB.wav,0.7284,0.6506,0.5746
1_463_plus_1-30043-A-26_-5dB.wav,0.4174,0.3745,0.4298
1_482_plus_3-110536-A-26_-5dB.wav,0.4704,0.3875,0.4072
1_58_plus_5-263775-A-26_-5dB.wav,0.8448,0.8501,0.7818
